# Open-coded StringHeader payload-access baseline (#8429).
# Format: rule | crate | count
# Regenerate: python3 scripts/string_payload_access_inventory.py --write-baseline
# Counts may only decrease; a new crate starts at zero.

inline-offset | perry-ext-ethers | 2
inline-offset | perry-ext-fastify | 3
inline-offset | perry-ext-http | 1
inline-offset | perry-ext-mysql2 | 2
inline-offset | perry-ext-net | 1
inline-offset | perry-ext-nodemailer | 1
inline-offset | perry-ext-pg | 2
inline-offset | perry-ext-zlib | 3
inline-offset | perry-ffi | 3
inline-offset | perry-runtime | 363
inline-offset | perry-stdlib | 48
inline-offset | perry-updater | 5
reader-helper | perry-ext-ethers | 1
reader-helper | perry-runtime | 12
